| Exhibit | Object | Object Type | Call Number | Link to Object Image | Copyright Status |
| Rufus Jones in Community | Letter from RMJ to Herbert Hoover, 1940 January 9  letters (correspondence) | HC.MC-1130_036_10_02 | https://digitalcollections.tricolib.brynmawr.edu/node/446856 | None |

| Rufus Jones in Community | Photo of RMJ at 1947 Nobel Prize Dinner | photographs | HC.MC-1130_100_06_14 | https://digitalcollections.tricolib.brynmawr.edu/node/488059 | None |

| Exploring the Life of Ada Smith | Rufus M. Jones by MHJ : Paragraph about Ada Smith on Page 63 | book | BX7754.Z5 J85 | https://tripod.haverford.edu/permalink/01TRI_INST/mh8mqq/alma991008653429704921 | In Copyright |

| Exploring the Life of Ada Smith | Photo of RMJ, EBJ, and MHJ with Ada Smith at Eaglesmere 1907 | photographs | HC.MC-1130_99_05_18 | https://digitalcollections.tricolib.brynmawr.edu/node/487577 | None |

| Exploring the Life of Ada Smith | "For Ada Smith", unpublished poem by Mary Hoxie Jones | poems | MC1310 Box 15, tracing the rainbow | https://digitalcollections.tricolib.brynmawr.edu/node/537101 | In Copyright |

| Exploring the Life of Ada Smith | U.S. Census including Ada Smith | census | https://www.ancestryinstitution.com/imageviewer/collections/7884/images/4450126_00993?pId=24418759 | None |

| Exploring the Life of Ada Smith | Letter from Ada Smith to John W. Cadbury Jr., 1932 June 28 | letters (correspondence) | HC.MC-1130_020_07_46 | https://digitalcollections.tricolib.brynmawr.edu/node/357039 | None |

| Exploring the Life of Ada Smith | Letter from Ada Smith to John W. Cadbury Jr, 1934 December 22 | letters (correspondence) | HC.MC-1130_022_07_82 | https://digitalcollections.tricolib.brynmawr.edu/node/365138 | None |

| Exploring the Life of Ada Smith | Letter from Ada Smith to John W. Cadbury Jr, 1935 March 11 | letters (correspondence) | HC.MC-1130_023_04_88 | https://digitalcollections.tricolib.brynmawr.edu/node/366222 | None |

| Exploring the Life of Ada Smith | Genelogy of Ada Smith's family | genealogies | MC1130 Box 123 Folder 6 | https://digitalcollections.tricolib.brynmawr.edu/node/537098 | None |

| Exploring the Life of Ada Smith | 1955 Charlottesville city directory | city directory | From Ancestry | https://www.ancestryinstitution.com/imageviewer/collections/2469/images/12065717?usePUB=true&_phsrc=ONi528&_gl=1*qy56pw*_up*MQ..*_ga*MTI2NTU3MzU0MS4xNzc1MDcyNjg0*_ga_4QT8FMEX30*c2JlYmM0NDNiLWE3NjMtNDE1NC1hNzJhLWNhZmJiYmYzNDBmNSRvMSRnMCR0MTc3NTA3MjY4NCRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*c2JlYmM0NDNiLWE3NjMtNDE1NC1hNzJhLWNhZmJiYmYzNDBmNSRvMSRnMCR0MTc3NTA3MjY4NCRqNjAkbDAkaDA.&pId=1081593517 |  None |

| Exploring the Life of Ada Smith | Possibly Ada Smith's home in Ardmore | photograph | In Harvard's Collection | http://id.lib.harvard.edu/images/olvsite18824/urn-3:GSD.loeb:U48638_1/catalog | Part of Harvard's Collection |

| Exploring the Life of Ada Smith | Negative of Ada Smith, undated | negative | HC.MC-1130_123_06_02 | https://digitalcollections.tricolib.brynmawr.edu/node/503049 | None |

| Exploring the Life of Ada Smith | Photograph of Willie Smith and MHJ, Xmas1904 | photographs | MC1130 Box 120 Folder 18 | https://digitalcollections.tricolib.brynmawr.edu/node/537095 | None |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | Photograph of MHJ and FCF on hike to Twin Falls, circa 1935 | photographs | MC1310 Volume 7 | https://digitalcollections.tricolib.brynmawr.edu/node/554402 | None |

| Queering the Archive: Mary Hoxie Jones and Frances Ferris | 1940 Census | censues | From Ancestry | https://www.ancestryinstitution.com/search/collections/2442/records/16085305?tid=17723556&pid=547412126&ssrc=pt&_gl=1*1j0k9mt*_up*MQ..*_ga*MjAwNDIyMDg1MS4xNzc0NTMxNjY3*_ga_4QT8FMEX30*c2JlYmM0NDNiLWE3NjMtNDE1NC1hNzJhLWNhZmJiYmYzNDBmNSRvMSRnMCR0MTc3NDUzMTY2NiRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*c2JlYmM0NDNiLWE3NjMtNDE1NC1hNzJhLWNhZmJiYmYzNDBmNSRvMSRnMCR0MTc3NDUzMTY2NiRqNjAkbDAkaDA. |  None |

